矿区,宝石,开采等级,耗费能量,开采时间
东部游乐场,石榴石,中级,16,85
交通署,天河石,中级,18,90
天空树,琥珀,中级,14,70
拉姆学院,汉白玉,中级,20,110
拉姆运动场,橄榄石,中级,18,100
摩尔大学,紫水晶,中级,20,120
神秘湖,翡翠,中级,12,65
神秘湖码头,碧玺,中级,12,60
粒粒小广场,托帕石,中级,14,75
西部游乐场,玛瑙,中级,16,80
咕噜艺术街,云母,初级,10,30
城堡露天花园,蛋白石,初级,10,28
开心农场,月光石,初级,8,20
摩尔城堡,黑曜石,初级,5,10
摩尔足球场,日光石,初级,6,18
淘淘乐街,虎眼石,初级,10,25
爱心教堂,萤石,初级,5,12
米勒大道,绿玉髓,初级,8,22
阳光牧场,锆石,初级,6,15
前哨站,青绿猫眼,高级,28,270
尼尔拉塔,海蓝宝石,高级,26,240
库拉城堡,钻石,高级,30,300
摩尔拉雅山脚,祖母绿,高级,24,210
摩尔拉雅山顶,天青石,高级,22,180
摩尔拉雅滑冰场,欧泊,高级,22,195
浆果丛林,红宝石,高级,26,255
虫虫谷,尖晶石,高级,24,225
黑森林,蓝宝石,高级,28,285
